ItemType,Title,Author,CopyrightDate,AccessionedDate,OwningLibrary,ReplacementPrice,MissingStatus,MissingDate,CallNumber,Barcode,Bib Marc Tag Number,Bib Marc Subfield Name,Bib Marc Subfield Data
JBOOK,"Just feel : how to be stronger, happier, healthier, and more /","Chopra, Mallika,",2019,11/1/19,Library 21c,$7.60 ,CHECKEDOUT,1/23/20,152.4 CHOP,213507148,300,c,26 cm
JBOOK,"Just feel : how to be stronger, happier, healthier, and more /","Chopra, Mallika,",2019,11/1/19,Penrose Library,$7.60 ,J,1/25/20,152.4 CHOP,213507213,300,a,"xiii, 113 pages :"
JBOOK,"Just feel : how to be stronger, happier, healthier, and more /","Chopra, Mallika,",2019,11/1/19,Penrose Library,$7.60 ,J,1/25/20,152.4 CHOP,213507213,300,c,26 cm
JBOOK,Amelia Earhart /,"Thomas, Isabel,",2018,11/1/19,Library 21c,$6.28 ,CHECKEDOUT,1/28/20,629.13092 EARH,213320252,300,a,63 pages :
JBOOK,Amelia Earhart /,"Thomas, Isabel,",2018,11/1/19,Library 21c,$6.28 ,CHECKEDOUT,1/28/20,629.13092 EARH,213320252,300,c,20 cm.
JBOOK,Amelia Earhart /,"Thomas, Isabel,",2018,11/1/19,Fountain Library,$6.28 ,CHECKEDOUT,1/23/20,629.13092 EARH,213320260,300,a,63 pages :
JBOOK,Amelia Earhart /,"Thomas, Isabel,",2018,11/1/19,Fountain Library,$6.28 ,CHECKEDOUT,1/23/20,629.13092 EARH,213320260,300,c,20 cm.
JBOOK,Amelia Earhart /,"Thomas, Isabel,",2018,11/1/19,East Library,$6.28 ,JBIOGRPHY,2/1/20,629.13092 EARH,213041007,300,a,63 pages :
JBOOK,Amelia Earhart /,"Thomas, Isabel,",2018,11/1/19,East Library,$6.28 ,JBIOGRPHY,2/1/20,629.13092 EARH,213041007,300,c,20 cm.
JBOOK,Anne Frank /,"Thomas, Isabel,",2019,11/1/19,Library 21c,$6.28 ,CHECKEDOUT,2/1/20,940.5318 FRAN,213507106,300,a,63 pages :
JBOOK,Anne Frank /,"Thomas, Isabel,",2019,11/1/19,Library 21c,$6.28 ,CHECKEDOUT,2/1/20,940.5318 FRAN,213507106,300,c,20 cm
JBOOK,Anne Frank /,"Thomas, Isabel,",2019,11/1/19,Rockrimmon Library,$6.28 ,CHECKEDOUT,1/23/20,940.5318 FRAN,213437320,300,a,63 pages :
JBOOK,Anne Frank /,"Thomas, Isabel,",2019,11/1/19,Rockrimmon Library,$6.28 ,CHECKEDOUT,1/23/20,940.5318 FRAN,213437320,300,c,20 cm
JBOOK,Anne Frank /,"Thomas, Isabel,",2019,11/1/19,East Library,$6.28 ,JBIOGRPHY,2/3/20,940.5318 FRAN,213507114,300,a,63 pages :
JBOOK,Anne Frank /,"Thomas, Isabel,",2019,11/1/19,East Library,$6.28 ,JBIOGRPHY,2/3/20,940.5318 FRAN,213507114,300,c,20 cm
